hora,Fosil,Fosiln,Solar,Solarn,Eolica,Eolican,Hidro,Hidron
1-2,0.0,0,0.0,0.0,0,0,0.0,0.0
3-4,0.0,0,0.0,0.0,0,0,0.0,0.0
5-6,0.0,0,0.0,0.0,0,0,0.0,0.0
7-8,0.0,-22.5,0.0,0.0,0,0,0.0,0.0
9-10,0.0,0,0.0,0.0,0,0,0.0,-124.0
11-12,0.0,0,0,-21.5,0,0,0.0,-157.1
13-14,0.0,0,0,-21.8,0,0,0.0,-159.4
15-16,0.0,0,0.0,0.0,0,0,0.0,-139.5
17-18,0.0,0,0.0,0.0,0,0,0.0,-44.0
19-20,0.0,0,0.0,0.0,0,0,0.0,-0.1
21-22,0.0,0,0.0,0.0,0,0,0.0,0.0
23-24,0.0,0,0.0,0.0,0,0,0.0,0.0
1-2,0.0,0,0.0,0.0,0,0,0.0,0.0
3-4,0.0,0,0.0,0.0,0,0,0.0,0.0
5-6,0.0,0,0.0,0.0,0,0,0.0,-0.1
7-8,0.0,0,0.0,0.0,0,0,0.0,-28.4
9-10,0.0,0,0.0,0.0,0,0,0.0,-125.5
11-12,0.0,0,0,-15.1,0,0,0.0,-160.3
13-14,0.0,0,0,-5.1,0,0,0.0,-165.5
15-16,0.0,0,0.0,0.0,0,0,0.0,-134.2
17-18,0.0,0,0.0,0.0,0,0,0.0,-52.7
19-20,0.0,-0.2,0.0,0.0,0,0,0.0,-1.3
21-22,0.0,0,0.0,0.0,0,0,0.0,0.0
23-24,0.0,0,0.0,0.0,0,0,0.0,0.0
