hora;Fosil;Solar;Eolica;Hidro
1-2;0.20;0.00;0.00;-0.20
3-4;-1.53;0.00;0.00;-0.20
5-6;-31.54;0.00;0.00;29.80
7-8;-82.87;0.00;0.00;29.80
9-10;0.00;0.00;0.00;0.00
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;0.00
17-18;0.00;0.00;0.00;18.67
19-20;-19.03;0.00;0.00;-131.81
21-22;-88.84;0.00;0.00;-67.96
23-24;-53.92;0.00;0.00;-0.10
1-2;-4.70;0.00;0.00;0.20
3-4;-8.71;0.00;0.00;0.20
5-6;-21.39;0.00;0.00;0.20
7-8;-56.03;0.00;0.00;-57.22
9-10;0.00;0.00;0.00;-59.60
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;0.00
17-18;0.00;0.00;0.00;73.58
19-20;-109.42;0.00;0.00;-54.13
21-22;-142.89;0.00;0.00;-2.62
23-24;-84.76;0.00;0.00;-44.29

