hora;Fosil;Solar;Eolica;Hidro
1-2;0.08;0.00;0.00;-0.08
3-4;-0.61;0.00;0.00;-0.08
5-6;-12.62;0.00;0.00;11.92
7-8;-33.15;0.00;0.00;11.92
9-10;0.00;0.00;0.00;-12.04
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;0.00
17-18;0.00;0.00;0.00;10.06
19-20;-2.22;0.00;0.00;-51.01
21-22;-2.31;0.00;0.00;-60.41
23-24;-21.57;0.00;0.00;-0.04
1-2;-0.07;0.00;0.00;-1.73
3-4;-0.13;0.00;0.00;-3.28
5-6;-0.31;0.00;0.00;-8.16
7-8;0.00;0.00;0.00;-45.30
9-10;0.00;0.00;0.00;-23.84
11-12;0.00;0.00;0.00;0.00
13-14;0.00;0.00;0.00;0.00
15-16;0.00;0.00;0.00;-23.84
17-18;0.00;0.00;0.00;60.16
19-20;-2.41;0.00;0.00;-63.01
21-22;-2.14;0.00;0.00;-56.06
23-24;-1.90;0.00;0.00;-49.72
